Day,Week,StreetName,Code,Division,Start,End,In9,In10,In11,In18,In19,In20
20190601,토,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,1194,1575,1981,1960,1706,1227
20190602,일,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,853,1256,1530,1513,1348,1130
20190603,월,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2864,2664,2400,2184,2126,1589
20190604,화,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2771,2601,2349,2238,2176,1662
20190605,수,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2682,2599,2413,2417,2417,1949
20190606,목,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,923,1194,1468,1657,1474,1198
20190607,금,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2313,2275,2097,2219,2248,1743
20190608,토,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,1162,1600,1933,1922,1741,1369
20190609,일,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,921,1336,1559,1504,1227,1119
20190610,월,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2711,2700,2341,2199,2156,1676
20190611,화,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2717,2545,2325,2158,2137,1704
20190612,수,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,1679,2704,2372,2249,2308,1708
20190613,목,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2690,2543,2379,2187,2223,1756
20190614,금,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2715,2586,2325,2361,2321,1876
20190615,토,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,1179,1698,2049,2004,1679,1486
20190616,일,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,841,1261,1593,1473,1322,1234
20190617,월,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2770,2654,2200,2187,2161,1656
20190618,화,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2648,2557,2307,2238,2299,1688
20190619,수,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2657,2527,2313,2300,2244,1727
20190620,목,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2652,2594,2382,2399,2348,1873
20190621,금,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2601,2562,2368,2413,2354,1987
20190622,토,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,1146,1654,1927,2076,1892,1382
20190623,일,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,795,1233,1522,1575,1484,1231
20190624,월,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2802,2620,2249,2267,2202,1803
20190625,화,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2506,2610,2281,2292,2212,1710
20190626,수,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2637,2606,2255,2362,2255,1693
20190627,목,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2627,2579,2127,2338,2304,1653
20190628,금,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,2627,2532,2299,2346,2253,1891
20190629,토,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,1038,1525,1904,2048,1747,1130
20190630,일,성산로(금화터널),A-01,유입,봉원고가차도,독립문역,815,1315,1431,1569,1404,1185
20190601,토,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,883,1435,1727,1710,1900,1704
20190602,일,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,554,868,1000,1793,1550,1363
20190603,월,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1700,1852,1772,2113,2357,2031
20190604,화,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1641,1879,1897,2073,2102,2125
20190605,수,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1666,1795,1905,2183,2279,2231
20190606,목,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,666,854,1134,1673,1495,1277
20190607,금,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1361,1704,1666,2137,2312,2088
20190608,토,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,825,1358,1524,1486,1758,1490
20190609,일,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,553,1156,1179,1796,1543,1295
20190610,월,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1643,1802,1779,2111,2420,2113
20190611,화,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1679,1880,1824,2057,2394,2295
20190612,수,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1575,1872,1824,1885,2068,1983
20190613,목,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1598,1855,1871,2132,2126,2076
20190614,금,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1561,1844,1750,2262,2373,2314
20190615,토,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,888,1376,1465,1626,1716,1582
20190616,일,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,533,805,1033,1800,1694,1358
20190617,월,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1633,1803,1770,2095,2206,2163
20190618,화,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1688,1816,1759,2029,2252,2067
20190619,수,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1567,1832,1727,2089,2318,2019
20190620,목,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1550,1740,1745,1996,2259,2086
20190621,금,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1514,1772,1837,2223,2489,2321
20190622,토,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,801,1056,1057,2018,1750,1411
20190623,일,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,562,811,1029,1881,1574,1474
20190624,월,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1569,1825,1773,2006,2196,2085
20190625,화,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1679,1834,1715,1971,2121,1945
20190626,수,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1608,1858,1721,2015,2102,2064
20190627,목,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1591,1868,1721,1960,2155,2036
20190628,금,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,1567,1736,1659,2311,2319,2200
20190629,토,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,801,1187,1395,1791,1735,949
20190630,일,성산로(금화터널),A-01,유출,독립문역,봉원고가차도,514,825,942,1626,1707,1353
20190601,토,사직로(사직터널),A-02,유입,독립문역,사직단,1375,1843,2222,2044,1772,1254
20190602,일,사직로(사직터널),A-02,유입,독립문역,사직단,1041,1530,1791,1567,1496,1199
20190603,월,사직로(사직터널),A-02,유입,독립문역,사직단,3187,3274,2702,2089,2136,1660
20190604,화,사직로(사직터널),A-02,유입,독립문역,사직단,3100,3152,2727,2209,2122,1725
20190605,수,사직로(사직터널),A-02,유입,독립문역,사직단,3023,3201,2700,2305,2335,1931
20190606,목,사직로(사직터널),A-02,유입,독립문역,사직단,1095,1422,1655,1667,1479,1229
20190607,금,사직로(사직터널),A-02,유입,독립문역,사직단,2623,2836,2460,2256,2269,1722
20190608,토,사직로(사직터널),A-02,유입,독립문역,사직단,1303,1837,2223,1834,1775,1337
20190609,일,사직로(사직터널),A-02,유입,독립문역,사직단,1059,1832,1776,1519,1256,1186
20190610,월,사직로(사직터널),A-02,유입,독립문역,사직단,3057,3306,2660,2182,2048,1583
20190611,화,사직로(사직터널),A-02,유입,독립문역,사직단,3014,3209,2652,2139,2098,1703
20190612,수,사직로(사직터널),A-02,유입,독립문역,사직단,2448,3294,2638,2218,2197,1729
20190613,목,사직로(사직터널),A-02,유입,독립문역,사직단,2965,3087,2725,2160,2188,1804
20190614,금,사직로(사직터널),A-02,유입,독립문역,사직단,3109,3154,2710,2365,2382,1893
20190615,토,사직로(사직터널),A-02,유입,독립문역,사직단,1347,1902,2287,2017,1695,1536
20190616,일,사직로(사직터널),A-02,유입,독립문역,사직단,966,1552,1853,1553,1368,1279
20190617,월,사직로(사직터널),A-02,유입,독립문역,사직단,3156,3233,2619,2128,2067,1696
20190618,화,사직로(사직터널),A-02,유입,독립문역,사직단,3025,3296,2695,2272,2234,1713
20190619,수,사직로(사직터널),A-02,유입,독립문역,사직단,3078,3134,2675,2210,2237,1800
20190620,목,사직로(사직터널),A-02,유입,독립문역,사직단,2994,3177,2719,2361,2322,1907
20190621,금,사직로(사직터널),A-02,유입,독립문역,사직단,3008,3154,2743,2487,2255,1944
20190622,토,사직로(사직터널),A-02,유입,독립문역,사직단,1303,1883,2199,2238,2007,1497
20190623,일,사직로(사직터널),A-02,유입,독립문역,사직단,936,1461,1700,1643,1528,1289
20190624,월,사직로(사직터널),A-02,유입,독립문역,사직단,3192,3238,2636,2222,2086,1852
20190625,화,사직로(사직터널),A-02,유입,독립문역,사직단,2228,2510,2512,2256,2150,1815
20190626,수,사직로(사직터널),A-02,유입,독립문역,사직단,2952,3155,2642,2464,2217,1762
20190627,목,사직로(사직터널),A-02,유입,독립문역,사직단,2994,3161,2561,2282,2318,1702
20190628,금,사직로(사직터널),A-02,유입,독립문역,사직단,2911,3172,2628,2357,2327,1888
20190629,토,사직로(사직터널),A-02,유입,독립문역,사직단,1199,1827,2104,2131,1941,862
20190630,일,사직로(사직터널),A-02,유입,독립문역,사직단,1006,1555,1703,1677,1421,1262
20190601,토,사직로(사직터널),A-02,유출,사직단,독립문역,927,1443,1723,1628,1697,1839
20190602,일,사직로(사직터널),A-02,유출,사직단,독립문역,585,852,1100,1943,1726,1547
20190603,월,사직로(사직터널),A-02,유출,사직단,독립문역,1866,1804,1950,2201,2376,2058
20190604,화,사직로(사직터널),A-02,유출,사직단,독립문역,1766,2034,2037,2260,2028,1884
20190605,수,사직로(사직터널),A-02,유출,사직단,독립문역,1756,1923,2028,2132,1956,1799
20190606,목,사직로(사직터널),A-02,유출,사직단,독립문역,670,923,1241,1824,1598,1458
20190607,금,사직로(사직터널),A-02,유출,사직단,독립문역,1478,1822,1832,2207,2360,2099
20190608,토,사직로(사직터널),A-02,유출,사직단,독립문역,899,1322,1622,1509,1934,1598
20190609,일,사직로(사직터널),A-02,유출,사직단,독립문역,574,1149,1233,2099,1859,1401
20190610,월,사직로(사직터널),A-02,유출,사직단,독립문역,1804,1960,1957,2192,2469,2059
20190611,화,사직로(사직터널),A-02,유출,사직단,독립문역,1822,1868,1953,2319,2289,2035
20190612,수,사직로(사직터널),A-02,유출,사직단,독립문역,1669,2005,2014,2088,1944,1500
20190613,목,사직로(사직터널),A-02,유출,사직단,독립문역,1781,2011,2059,2335,2237,1872
20190614,금,사직로(사직터널),A-02,유출,사직단,독립문역,1767,1965,1930,2316,2217,2194
20190615,토,사직로(사직터널),A-02,유출,사직단,독립문역,957,1397,1555,1649,1804,1684
20190616,일,사직로(사직터널),A-02,유출,사직단,독립문역,519,812,1110,2115,1931,1497
20190617,월,사직로(사직터널),A-02,유출,사직단,독립문역,1851,1969,1882,2131,2312,2077
20190618,화,사직로(사직터널),A-02,유출,사직단,독립문역,1864,1990,1970,2281,2294,2099
20190619,수,사직로(사직터널),A-02,유출,사직단,독립문역,1750,2012,1845,2200,2225,1944
20190620,목,사직로(사직터널),A-02,유출,사직단,독립문역,1758,1917,1966,2039,2259,2035
20190621,금,사직로(사직터널),A-02,유출,사직단,독립문역,1741,1987,1978,2293,2251,1979
20190622,토,사직로(사직터널),A-02,유출,사직단,독립문역,854,1229,1353,2057,1884,1554
20190623,일,사직로(사직터널),A-02,유출,사직단,독립문역,572,839,1155,1979,1859,1580
20190624,월,사직로(사직터널),A-02,유출,사직단,독립문역,1825,1939,1963,1919,2167,2078
20190625,화,사직로(사직터널),A-02,유출,사직단,독립문역,1452,1749,1816,2004,2113,1901
20190626,수,사직로(사직터널),A-02,유출,사직단,독립문역,1806,2027,1954,2182,1962,2061
20190627,목,사직로(사직터널),A-02,유출,사직단,독립문역,1783,1913,1928,2113,2346,1989
20190628,금,사직로(사직터널),A-02,유출,사직단,독립문역,1773,1924,1893,2403,2220,2117
20190629,토,사직로(사직터널),A-02,유출,사직단,독립문역,808,1196,1456,1855,1906,995
20190630,일,사직로(사직터널),A-02,유출,사직단,독립문역,530,874,1082,1770,1820,1469
20190601,토,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,623,983,1296,601,512,495
20190602,일,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,392,664,816,541,498,433
20190603,월,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1839,1567,1553,717,597,481
20190604,화,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1742,1636,1516,642,571,488
20190605,수,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1789,1666,1528,712,579,514
20190606,목,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,491,716,816,627,474,375
20190607,금,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1634,1472,1488,742,637,534
20190608,토,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,606,965,1146,569,534,427
20190609,일,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,401,674,724,519,469,437
20190610,월,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1668,1501,1566,708,596,511
20190611,화,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1755,1599,1513,639,556,465
20190612,수,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1788,1625,1562,665,635,471
20190613,목,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1818,1609,1485,687,612,491
20190614,금,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1792,1626,1562,702,644,529
20190615,토,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,633,991,1320,643,535,522
20190616,일,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,377,633,785,561,513,474
20190617,월,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1840,1590,1525,647,548,471
20190618,화,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1717,1521,1565,671,536,503
20190619,수,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1781,1626,1392,620,613,506
20190620,목,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1712,1507,1376,682,553,533
20190621,금,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1581,1584,1530,656,690,519
20190622,토,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,611,903,1209,600,523,478
20190623,일,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,352,651,975,565,495,480
20190624,월,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1803,1596,1576,712,543,507
20190625,화,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1762,1431,1494,699,540,501
20190626,수,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1812,1592,1511,644,617,460
20190627,목,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,1781,1592,1485,679,564,500
20190628,금,자하문로(자하문터널),A-03,유입,,,,,,,,
20190629,토,자하문로(자하문터널),A-03,유입,석파정,청운초등학교,547,852,1118,603,532,475
20190630,일,자하문로(자하문터널),A-03,유입,청운초등학교,석파정,420,673,809,546,513,415
20190601,토,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,310,497,599,577,753,685
20190602,일,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,212,334,442,806,699,549
20190603,월,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,555,625,637,1188,1399,1155
20190604,화,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,579,564,594,1296,1342,1187
20190605,수,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,554,605,619,1311,1262,1345
20190606,목,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,263,432,460,770,721,539
20190607,금,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,443,529,615,1167,1307,1093
20190608,토,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,312,462,589,732,614,625
20190609,일,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,165,328,438,840,720,521
20190610,월,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,542,625,617,1151,1384,1202
20190611,화,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,527,593,636,1240,1281,1243
20190612,수,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,530,536,619,1402,1438,1310
20190613,목,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,579,604,667,1127,1382,1232
20190614,금,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,566,642,603,1292,1482,1158
20190615,토,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,327,491,713,883,670,795
20190616,일,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,194,301,431,744,726,601
20190617,월,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,545,600,604,1144,1370,1203
20190618,화,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,542,603,585,1252,1377,1238
20190619,수,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,541,544,635,1164,1410,1218
20190620,목,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,532,623,637,1245,1297,1258
20190621,금,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,564,586,616,1358,1429,1309
20190622,토,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,299,436,606,916,818,575
20190623,일,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,208,279,426,787,704,550
20190624,월,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,540,583,578,1237,1452,1332
20190625,화,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,526,577,588,1336,1382,1245
20190626,수,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,566,598,588,1309,1515,1351
20190627,목,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,574,607,562,1281,1477,1199
20190628,금,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,565,559,560,1252,1376,1259
20190629,토,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,246,416,582,854,773,530
20190630,일,자하문로(자하문터널),A-03,유출,청운초등학교,석파정,184,299,453,768,758,630
20190601,토,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,203,282,406,376,304,186
20190602,일,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,116,171,239,217,214,221
20190603,월,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,946,797,713,289,249,147
20190604,화,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,870,795,773,323,287,167
20190605,수,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,839,804,651,346,351,208
20190606,목,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,158,227,284,230,169,175
20190607,금,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,768,723,594,259,257,172
20190608,토,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,174,245,374,247,240,173
20190609,일,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,112,175,248,258,192,182
20190610,월,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,870,816,807,244,213,163
20190611,화,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,855,801,698,325,282,148
20190612,수,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,851,818,677,312,309,167
20190613,목,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,846,786,687,364,352,198
20190614,금,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,792,820,702,352,330,206
20190615,토,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,198,306,470,336,267,200
20190616,일,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,119,169,251,207,229,222
20190617,월,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,904,827,687,281,272,169
20190618,화,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,858,866,770,274,279,166
20190619,수,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,829,805,712,316,294,152
20190620,목,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,789,758,689,356,370,222
20190621,금,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,812,815,647,362,350,199
20190622,토,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,185,263,398,411,276,208
20190623,일,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,107,207,257,254,228,206
20190624,월,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,932,803,726,299,236,169
20190625,화,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,832,819,732,278,268,177
20190626,수,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,833,800,592,298,336,178
20190627,목,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,868,767,627,316,267,139
20190628,금,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,822,764,675,385,428,227
20190629,토,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,160,253,380,260,200,163
20190630,일,대사관로(삼청터널),A-04,유입,삼청각,삼청공원입구,133,189,240,178,192,161
20190601,토,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,92,156,244,410,484,346
20190602,일,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,63,116,162,413,360,304
20190603,월,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,164,229,234,617,721,632
20190604,화,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,166,233,264,697,783,683
20190605,수,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,163,236,213,737,639,676
20190606,목,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,90,125,166,457,393,274
20190607,금,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,121,189,239,665,726,663
20190608,토,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,96,131,194,376,474,339
20190609,일,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,54,112,145,450,342,284
20190610,월,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,172,215,246,635,753,569
20190611,화,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,177,216,230,675,726,690
20190612,수,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,160,225,245,663,774,626
20190613,목,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,161,229,237,637,766,644
20190614,금,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,158,219,285,689,753,692
20190615,토,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,87,154,251,553,455,408
20190616,일,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,67,86,172,409,372,305
20190617,월,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,185,219,217,640,730,634
20190618,화,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,187,215,216,672,797,616
20190619,수,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,164,218,219,706,753,622
20190620,목,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,161,197,226,696,758,632
20190621,금,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,187,181,246,781,669,698
20190622,토,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,77,139,222,485,534,384
20190623,일,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,73,112,159,420,366,334
20190624,월,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,171,208,227,628,752,681
20190625,화,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,152,206,237,738,758,657
20190626,수,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,144,204,236,764,739,614
20190627,목,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,150,212,217,696,767,651
20190628,금,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,151,213,242,735,790,654
20190629,토,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,71,126,165,467,463,391
20190630,일,대사관로(삼청터널),A-04,유출,삼청공원입구,삼청각,63,116,161,374,326,310
20190601,토,율곡로(안국역),A-05,유출,안국동사거리,안국역,918,1271,1449,1335,1403,989
20190602,일,율곡로(안국역),A-05,유출,안국동사거리,안국역,618,842,1100,1568,1367,1176
20190603,월,율곡로(안국역),A-05,유출,안국동사거리,안국역,1496,1537,1612,1518,1545,1421
20190604,화,율곡로(안국역),A-05,유출,안국동사거리,안국역,1421,1555,1677,1577,1596,1474
20190605,수,율곡로(안국역),A-05,유출,안국동사거리,안국역,1440,1629,1712,1513,1541,1624
20190606,목,율곡로(안국역),A-05,유출,안국동사거리,안국역,729,896,1143,1494,1386,1231
20190607,금,율곡로(안국역),A-05,유출,안국동사거리,안국역,1328,1545,1667,1619,1654,1563
20190608,토,율곡로(안국역),A-05,유출,안국동사거리,안국역,924,1236,1434,1476,1642,1313
20190609,일,율곡로(안국역),A-05,유출,안국동사거리,안국역,651,1077,1111,1476,1306,1110
20190610,월,율곡로(안국역),A-05,유출,안국동사거리,안국역,1430,1498,1735,1530,1637,1462
20190611,화,율곡로(안국역),A-05,유출,안국동사거리,안국역,1482,1670,1715,1528,1584,1403
20190612,수,율곡로(안국역),A-05,유출,안국동사거리,안국역,1307,1620,1631,1355,1482,1517
20190613,목,율곡로(안국역),A-05,유출,안국동사거리,안국역,1365,1604,1600,1629,1463,1447
20190614,금,율곡로(안국역),A-05,유출,안국동사거리,안국역,1419,1588,1738,1653,1625,1575
20190615,토,율곡로(안국역),A-05,유출,안국동사거리,안국역,939,1270,1493,1393,1496,1310
20190616,일,율곡로(안국역),A-05,유출,안국동사거리,안국역,573,908,1163,1531,1400,1280
20190617,월,율곡로(안국역),A-05,유출,안국동사거리,안국역,1477,1622,1660,1585,1575,1416
20190618,화,율곡로(안국역),A-05,유출,안국동사거리,안국역,1423,1621,1672,1618,1369,1551
20190619,수,율곡로(안국역),A-05,유출,안국동사거리,안국역,1371,1644,1649,1596,1582,1456
20190620,목,율곡로(안국역),A-05,유출,안국동사거리,안국역,1403,1576,1675,1687,1501,1513
20190621,금,율곡로(안국역),A-05,유출,안국동사거리,안국역,1405,1599,1744,1630,1537,1609
20190622,토,율곡로(안국역),A-05,유출,안국동사거리,안국역,915,1283,1427,1553,1606,1309
20190623,일,율곡로(안국역),A-05,유출,안국동사거리,안국역,603,864,1115,1574,1476,1271
20190624,월,율곡로(안국역),A-05,유출,안국동사거리,안국역,1500,1615,1575,1543,1556,1529
20190625,화,율곡로(안국역),A-05,유출,안국동사거리,안국역,1425,1576,1762,1637,1510,1490
20190626,수,율곡로(안국역),A-05,유출,안국동사거리,안국역,1386,1576,1735,1636,1547,1531
20190627,목,율곡로(안국역),A-05,유출,안국동사거리,안국역,1429,1596,1683,1633,1635,1482
20190628,금,율곡로(안국역),A-05,유출,안국동사거리,안국역,1363,1539,1744,1584,1588,1547
20190629,토,율곡로(안국역),A-05,유출,안국동사거리,안국역,838,1164,1332,1589,1588,1033
20190630,일,율곡로(안국역),A-05,유출,안국동사거리,안국역,618,892,1038,1505,1393,1242
20190601,토,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,1186,1518,1580,1074,1060,919
20190602,일,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,733,995,1298,1075,984,862
20190603,월,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,2316,2192,1839,1058,878,819
20190604,화,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,2230,2235,1774,1078,943,785
20190605,수,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,2177,2220,1880,1025,1002,778
20190606,목,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,938,1198,1272,1109,914,837
20190607,금,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,1932,2105,1807,1177,958,887
20190608,토,창경궁로(서울여자대학교),A-06,유입,성균관대입구,원남동사거리,1128,1331,1504,1077,1066,937
